AL,"Alabama",FALSE,1,FALSE
AK,"Alaska",FALSE,1,FALSE
AZ,"Arizona",FALSE,1,FALSE
AR,"Arkansas",FALSE,1,FALSE
CA,"California",FALSE,1,FALSE
CO,"Colorado",FALSE,1,FALSE
CT,"Connecticut",FALSE,1,FALSE
DE,"Delaware",FALSE,1,FALSE
DC,"District of Columbia",FALSE,1,FALSE
FL,"Florida",FALSE,1,FALSE
GA,"Georgia",FALSE,1,FALSE
HI,"Hawaii",FALSE,1,FALSE
ID,"Idaho",FALSE,1,FALSE
IL,"Illinois",FALSE,1,FALSE
IN,"Indiana",FALSE,1,FALSE
IA,"Iowa",FALSE,1,FALSE
KS,"Kansas",FALSE,1,FALSE
KY,"Kentucky",FALSE,1,FALSE
LA,"Louisiana",FALSE,1,FALSE
ME,"Maine",FALSE,1,FALSE
MD,"Maryland",FALSE,1,FALSE
MA,"Massachusetts",FALSE,1,FALSE
MI,"Michigan",FALSE,1,FALSE
MN,"Minnesota",FALSE,1,FALSE
MS,"Mississippi",FALSE,1,FALSE
MO,"Missouri",FALSE,1,FALSE
MT,"Montana",FALSE,1,FALSE
NE,"Nebraska",FALSE,1,FALSE
NV,"Nevada",FALSE,1,FALSE
NH,"New Hampshire",FALSE,1,FALSE
NJ,"New Jersey",FALSE,1,FALSE
NM,"New Mexico",FALSE,1,FALSE
NY,"New York",FALSE,1,FALSE
NC,"North Carolina",FALSE,1,FALSE
ND,"North Dakota",FALSE,1,FALSE
OH,"Ohio",FALSE,1,FALSE
OK,"Oklahoma",FALSE,1,FALSE
OR,"Oregon",FALSE,1,FALSE
PA,"Pennsylvania",FALSE,1,FALSE
RI,"Rhode Island",FALSE,1,FALSE
SC,"South Carolina",FALSE,1,FALSE
SD,"South Dakota",FALSE,1,FALSE
TN,"Tennessee",FALSE,1,FALSE
TX,"Texas",FALSE,1,FALSE
UT,"Utah",FALSE,1,FALSE
VT,"Vermont",FALSE,1,FALSE
VA,"Virginia",FALSE,1,FALSE
WA,"Washington",FALSE,1,FALSE
WV,"West Virginia",FALSE,1,FALSE
WI,"Wisconsin",FALSE,1,FALSE
WY,"Wyoming",FALSE,1,FALSE
